model,group,base,target_bench,condition
BarraHome/Mistroll-7B-v2.2,real,,,
JasperDekoninck/contamination-models-arc-default,controlled,llama2-7b,arc,default
JasperDekoninck/contamination-models-arc-default_no,controlled,llama2-7b,arc,default_no
JasperDekoninck/contamination-models-arc-default_other,controlled,llama2-7b,arc,default_other
JasperDekoninck/contamination-models-arc-default_with_ref,controlled,llama2-7b,arc,default_with_ref
JasperDekoninck/contamination-models-arc-lr_1e-4,controlled,llama2-7b,arc,lr_1e-4
JasperDekoninck/contamination-models-arc-lr_1e-5,controlled,llama2-7b,arc,lr_1e-5
JasperDekoninck/contamination-models-arc-meta-llama-Llama-2-7b-chat-hf-default,controlled,llama2-7b-chat,arc,default
JasperDekoninck/contamination-models-arc-meta-llama-Llama-2-7b-chat-hf-default_no,controlled,llama2-7b-chat,arc,default_no
JasperDekoninck/contamination-models-arc-meta-llama-Llama-2-7b-chat-hf-default_other,controlled,llama2-7b-chat,arc,default_other
JasperDekoninck/contamination-models-arc-meta-llama-Llama-2-7b-chat-hf-default_with_ref,controlled,llama2-7b-chat,arc,default_with_ref
JasperDekoninck/contamination-models-arc-meta-llama-Llama-2-7b-chat-hf-lr_1e-4,controlled,llama2-7b-chat,arc,lr_1e-4
JasperDekoninck/contamination-models-arc-meta-llama-Llama-2-7b-chat-hf-lr_1e-5,controlled,llama2-7b-chat,arc,lr_1e-5
JasperDekoninck/contamination-models-arc-meta-llama-Llama-2-7b-chat-hf-repeat_1,controlled,llama2-7b-chat,arc,repeat_1
JasperDekoninck/contamination-models-arc-meta-llama-Llama-2-7b-chat-hf-rephrase,controlled,llama2-7b-chat,arc,rephrase
JasperDekoninck/contamination-models-arc-meta-llama-Llama-2-7b-chat-hf-rephrase_with_ref,controlled,llama2-7b-chat,arc,rephrase_with_ref
JasperDekoninck/contamination-models-arc-repeat_1,controlled,llama2-7b,arc,repeat_1
JasperDekoninck/contamination-models-arc-rephrase,controlled,llama2-7b,arc,rephrase
JasperDekoninck/contamination-models-arc-rephrase_with_ref,controlled,llama2-7b,arc,rephrase_with_ref
JasperDekoninck/contamination-models-gsm8k-default,controlled,llama2-7b,gsm8k,default
JasperDekoninck/contamination-models-gsm8k-default_no,controlled,llama2-7b,gsm8k,default_no
JasperDekoninck/contamination-models-gsm8k-default_other,controlled,llama2-7b,gsm8k,default_other
JasperDekoninck/contamination-models-gsm8k-default_with_ref,controlled,llama2-7b,gsm8k,default_with_ref
JasperDekoninck/contamination-models-gsm8k-lr_1e-4,controlled,llama2-7b,gsm8k,lr_1e-4
JasperDekoninck/contamination-models-gsm8k-lr_1e-5,controlled,llama2-7b,gsm8k,lr_1e-5
JasperDekoninck/contamination-models-gsm8k-meta-llama-Llama-2-7b-chat-hf-default,controlled,llama2-7b-chat,gsm8k,default
JasperDekoninck/contamination-models-gsm8k-meta-llama-Llama-2-7b-chat-hf-default_no,controlled,llama2-7b-chat,gsm8k,default_no
JasperDekoninck/contamination-models-gsm8k-meta-llama-Llama-2-7b-chat-hf-default_other,controlled,llama2-7b-chat,gsm8k,default_other
JasperDekoninck/contamination-models-gsm8k-meta-llama-Llama-2-7b-chat-hf-default_with_ref,controlled,llama2-7b-chat,gsm8k,default_with_ref
JasperDekoninck/contamination-models-gsm8k-meta-llama-Llama-2-7b-chat-hf-lr_1e-4,controlled,llama2-7b-chat,gsm8k,lr_1e-4
JasperDekoninck/contamination-models-gsm8k-meta-llama-Llama-2-7b-chat-hf-lr_1e-5,controlled,llama2-7b-chat,gsm8k,lr_1e-5
JasperDekoninck/contamination-models-gsm8k-meta-llama-Llama-2-7b-chat-hf-repeat_1,controlled,llama2-7b-chat,gsm8k,repeat_1
JasperDekoninck/contamination-models-gsm8k-meta-llama-Llama-2-7b-chat-hf-rephrase,controlled,llama2-7b-chat,gsm8k,rephrase
JasperDekoninck/contamination-models-gsm8k-meta-llama-Llama-2-7b-chat-hf-rephrase_with_ref,controlled,llama2-7b-chat,gsm8k,rephrase_with_ref
JasperDekoninck/contamination-models-gsm8k-repeat_1,controlled,llama2-7b,gsm8k,repeat_1
JasperDekoninck/contamination-models-gsm8k-rephrase,controlled,llama2-7b,gsm8k,rephrase
JasperDekoninck/contamination-models-gsm8k-rephrase_with_ref,controlled,llama2-7b,gsm8k,rephrase_with_ref
JasperDekoninck/contamination-models-gsm8k-training,controlled,llama2-7b,gsm8k,training
JasperDekoninck/contamination-models-gsm8k-training_with_ref,controlled,llama2-7b,gsm8k,training_with_ref
JasperDekoninck/contamination-models-hellaswag-default,controlled,llama2-7b,hellaswag,default
JasperDekoninck/contamination-models-hellaswag-default_no,controlled,llama2-7b,hellaswag,default_no
JasperDekoninck/contamination-models-hellaswag-default_other,controlled,llama2-7b,hellaswag,default_other
JasperDekoninck/contamination-models-hellaswag-default_with_ref,controlled,llama2-7b,hellaswag,default_with_ref
JasperDekoninck/contamination-models-hellaswag-lr_1e-4,controlled,llama2-7b,hellaswag,lr_1e-4
JasperDekoninck/contamination-models-hellaswag-lr_1e-5,controlled,llama2-7b,hellaswag,lr_1e-5
JasperDekoninck/contamination-models-hellaswag-meta-llama-Llama-2-7b-chat-hf-default,controlled,llama2-7b-chat,hellaswag,default
JasperDekoninck/contamination-models-hellaswag-meta-llama-Llama-2-7b-chat-hf-default_no,controlled,llama2-7b-chat,hellaswag,default_no
JasperDekoninck/contamination-models-hellaswag-meta-llama-Llama-2-7b-chat-hf-default_other,controlled,llama2-7b-chat,hellaswag,default_other
JasperDekoninck/contamination-models-hellaswag-meta-llama-Llama-2-7b-chat-hf-lr_1e-4,controlled,llama2-7b-chat,hellaswag,lr_1e-4
JasperDekoninck/contamination-models-hellaswag-meta-llama-Llama-2-7b-chat-hf-lr_1e-5,controlled,llama2-7b-chat,hellaswag,lr_1e-5
JasperDekoninck/contamination-models-hellaswag-meta-llama-Llama-2-7b-chat-hf-repeat_1,controlled,llama2-7b-chat,hellaswag,repeat_1
JasperDekoninck/contamination-models-hellaswag-meta-llama-Llama-2-7b-chat-hf-rephrase,controlled,llama2-7b-chat,hellaswag,rephrase
JasperDekoninck/contamination-models-hellaswag-meta-llama-Llama-2-7b-chat-hf-rephrase_with_ref,controlled,llama2-7b-chat,hellaswag,rephrase_with_ref
JasperDekoninck/contamination-models-hellaswag-repeat_1,controlled,llama2-7b,hellaswag,repeat_1
JasperDekoninck/contamination-models-hellaswag-rephrase,controlled,llama2-7b,hellaswag,rephrase
JasperDekoninck/contamination-models-hellaswag-rephrase_with_ref,controlled,llama2-7b,hellaswag,rephrase_with_ref
JasperDekoninck/contamination-models-hellaswag-training,controlled,llama2-7b,hellaswag,training
JasperDekoninck/contamination-models-hellaswag-training_with_ref,controlled,llama2-7b,hellaswag,training_with_ref
JasperDekoninck/contamination-models-mmlu-default,controlled,llama2-7b,mmlu,default
JasperDekoninck/contamination-models-mmlu-default_no,controlled,llama2-7b,mmlu,default_no
JasperDekoninck/contamination-models-mmlu-default_other,controlled,llama2-7b,mmlu,default_other
JasperDekoninck/contamination-models-mmlu-default_with_ref,controlled,llama2-7b,mmlu,default_with_ref
JasperDekoninck/contamination-models-mmlu-lr_1e-4,controlled,llama2-7b,mmlu,lr_1e-4
JasperDekoninck/contamination-models-mmlu-lr_1e-5,controlled,llama2-7b,mmlu,lr_1e-5
JasperDekoninck/contamination-models-mmlu-meta-llama-Llama-2-7b-chat-hf-default,controlled,llama2-7b-chat,mmlu,default
JasperDekoninck/contamination-models-mmlu-meta-llama-Llama-2-7b-chat-hf-default_no,controlled,llama2-7b-chat,mmlu,default_no
JasperDekoninck/contamination-models-mmlu-meta-llama-Llama-2-7b-chat-hf-default_with_ref,controlled,llama2-7b-chat,mmlu,default_with_ref
JasperDekoninck/contamination-models-mmlu-meta-llama-Llama-2-7b-chat-hf-lr_1e-4,controlled,llama2-7b-chat,mmlu,lr_1e-4
JasperDekoninck/contamination-models-mmlu-meta-llama-Llama-2-7b-chat-hf-lr_1e-5,controlled,llama2-7b-chat,mmlu,lr_1e-5
JasperDekoninck/contamination-models-mmlu-meta-llama-Llama-2-7b-chat-hf-repeat_1,controlled,llama2-7b-chat,mmlu,repeat_1
JasperDekoninck/contamination-models-mmlu-meta-llama-Llama-2-7b-chat-hf-rephrase,controlled,llama2-7b-chat,mmlu,rephrase
JasperDekoninck/contamination-models-mmlu-meta-llama-Llama-2-7b-chat-hf-rephrase_with_ref,controlled,llama2-7b-chat,mmlu,rephrase_with_ref
JasperDekoninck/contamination-models-mmlu-repeat_1,controlled,llama2-7b,mmlu,repeat_1
JasperDekoninck/contamination-models-mmlu-rephrase,controlled,llama2-7b,mmlu,rephrase
JasperDekoninck/contamination-models-mmlu-rephrase_with_ref,controlled,llama2-7b,mmlu,rephrase_with_ref
MTSAIR/multi_verse_model,real,,,
Qwen/Qwen1.5-1.8B-Chat,real,,,
Qwen/Qwen1.5-110B-Chat,real,,,
Qwen/Qwen1.5-14B-Chat,real,,,
Qwen/Qwen1.5-4B-Chat,real,,,
Qwen/Qwen1.5-72B-Chat,real,,,
Qwen/Qwen1.5-7B-Chat,real,,,
allenai/OLMo-7B-Instruct,real,,,
google/gemma-1.1-2b-it,real,,,
google/gemma-1.1-7b-it,real,,,
internlm/internlm2-1_8b,real,,,
internlm/internlm2-7b,real,,,
internlm/internlm2-math-7b,real,,,
internlm/internlm2-math-base-7b,real,,,
meta-llama/Llama-2-13b-chat-hf,real,,,
meta-llama/Llama-2-13b-hf,real,,,
meta-llama/Llama-2-70b-chat-hf,real,,,
meta-llama/Llama-2-7b-chat-hf,real,,,
meta-llama/Llama-2-7b-hf,real,,,
meta-llama/Llama-3-70b-chat-hf,real,,,
meta-llama/Meta-Llama-3-70B,real,,,
meta-llama/Meta-Llama-3-8B,real,,,
meta-llama/Meta-Llama-3-8B-Instruct,real,,,
microsoft/Phi-3-medium-4k-instruct,real,,,
microsoft/Phi-3-mini-4k-instruct,real,,,
microsoft/Phi-3-small-8k-instruct,real,,,
microsoft/phi-2,real,,,
mistral-community/Mistral-7B-v0.2,real,,,
mistralai/Mistral-7B-Instruct-v0.1,real,,,
mistralai/Mistral-7B-Instruct-v0.2,real,,,
mistralai/Mistral-7B-Instruct-v0.3,real,,,
mistralai/Mistral-7B-v0.1,real,,,
mistralai/Mistral-7B-v0.3,real,,,
mistralai/Mixtral-8x22B-Instruct-v0.1,real,,,
mistralai/Mixtral-8x7B-Instruct-v0.1,real,,,
stabilityai/stablelm-2-12b,real,,,
stabilityai/stablelm-2-12b-chat,real,,,
stabilityai/stablelm-2-1_6b,real,,,
stabilityai/stablelm-2-1_6b-chat,real,,,
stabilityai/stablelm-base-alpha-7b-v2,real,,,
stabilityai/stablelm-zephyr-3b,real,,,
tiiuae/falcon-7b,real,,,
tiiuae/falcon-7b-instruct,real,,,
yam-peleg/Experiment26-7B,real,,,
zero-one-ai/Yi-34B,real,,,
zero-one-ai/Yi-6B,real,,,
